"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"292",43280.157018072,43423.6889795266,43476.8858907878,43505.0705777542,43536.2957520626,43585.7056660601,43616.9873705313,43714.0342491847,43785.7858124646
"293",18107.9887273816,18261.8491386817,18304.3878426238,18344.8055392895,18407.6348659494,18457.7737225188,18478.0625742433,18561.720344848,18617.9231567702
"294",40850.2735623392,41021.7719405837,41074.652185844,41109.8046396848,41126.127802958,41161.860049283,41175.166786209,41312.4762492691,41373.702572711
"295",39947.9677349274,40102.4260116399,40145.4677914615,40199.8713956583,40216.1604461753,40260.5183131856,40296.2079273727,40390.0598454425,40442.7886076549
"296",45100.4282948796,45306.559093701,45400.2408470804,45434.8079376623,45470.1204225493,45561.9567546568,45585.0361690726,45695.4402838166,45751.5565648301
"297",33071.0640097799,33158.0197332299,33217.4352135532,33235.1017323812,33257.588925192,33284.3297967207,33306.6673914196,33400.1164908084,33456.7712570448
"298",37827.759316517,37947.010063901,37974.3424936237,37993.817677617,38010.0159650403,38074.0428291732,38090.3083548843,38178.0579839975,38239.2879067087
"299",37448.4569647346,37559.5041975036,37583.2174594989,37622.7397130871,37662.7976808083,37766.6383876307,37793.1990682357,37896.1724242307,37942.8214086478
"300",29399.1764218706,29508.6918111137,29530.3584713071,29553.2720336011,29568.210836071,29654.0264322506,29665.0299347205,29753.8218480579,29807.4412378771
"301",37081.7067788999,37249.3172743554,37294.4311320941,37342.838441969,37374.4101878439,37497.9271696521,37510.573945637,37632.5604814194,37688.6577571388
"302",37077.6597169651,37229.5117833299,37279.5625915354,37320.4838851147,37340.8601489452,37405.1699748979,37427.4370797716,37549.0672005,37611.3144062965
"303",30138.0875232941,30283.031885503,30321.210750178,30340.3168049394,30365.2970752633,30417.695214791,30431.7689487734,30533.4899757963,30582.9463263615
"304",34247.350302383,34455.4027080793,34502.1802416386,34536.9021418883,34569.9568932278,34671.5697176276,34703.1455949682,34821.2814458544,34860.6759765933
"305",23761.3470497357,23932.1492713831,24019.3085167589,24064.1442279221,24086.1517302045,24143.5932983748,24156.7467297555,24269.471451443,24338.9306786911
