,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
46,0.659793814,0.856870229,0.476804124,0.93129771,0.572164948,0.88740458,0.595360825,0.856870229,0.417525773,0.948473282,0.434173669,0.870307167,0.277310924,0.965870307,0.344537815,0.897610922,0.420168067,0.870307167,0.238095238,0.962457338
47,0.668407311,0.84120983,0.498694517,0.945179584,0.597911227,0.865784499,0.590078329,0.84120983,0.430809399,0.937618147,0.408839779,0.887871854,0.23480663,0.964530892,0.32320442,0.900457666,0.403314917,0.887871854,0.20718232,0.949656751
48,0.6796875,0.840909091,0.4921875,0.931818182,0.5703125,0.869318182,0.588541667,0.840909091,0.447916667,0.946969697,0.438888889,0.886986301,0.266666667,0.966894977,0.344444444,0.897260274,0.422222222,0.886986301,0.244444444,0.949771689
49,0.672456576,0.844793713,0.493796526,0.925343811,0.602977667,0.866404715,0.600496278,0.844793713,0.41439206,0.937131631,0.42228739,0.898324022,0.234604106,0.969832402,0.340175953,0.91396648,0.395894428,0.898324022,0.234604106,0.958659218
50,0.642487047,0.86121673,0.448186528,0.939163498,0.582901554,0.870722433,0.575129534,0.86121673,0.401554404,0.948669202,0.414492754,0.877665544,0.269565217,0.970819304,0.330434783,0.88664422,0.385507246,0.877665544,0.246376812,0.955106622
51,0.698019802,0.787401575,0.524752475,0.88976378,0.589108911,0.818897638,0.608910891,0.787401575,0.452970297,0.909448819,0.438172043,0.873842593,0.258064516,0.969907407,0.35483871,0.87962963,0.419354839,0.873842593,0.247311828,0.952546296
52,0.670103093,0.826335878,0.489690722,0.923664122,0.572164948,0.858778626,0.577319588,0.826335878,0.427835052,0.925572519,0.430594901,0.889014723,0.257790368,0.971687429,0.365439093,0.904869762,0.402266289,0.889014723,0.240793201,0.964892412
53,0.688946015,0.829827916,0.5218509,0.948374761,0.614395887,0.868068834,0.619537275,0.829827916,0.4781491,0.952198853,0.426997245,0.864833906,0.269972452,0.969072165,0.355371901,0.886597938,0.407713499,0.864833906,0.245179063,0.956471936
54,0.676844784,0.840077071,0.498727735,0.928709056,0.582697201,0.876685934,0.603053435,0.840077071,0.41475827,0.94026975,0.418732782,0.909507446,0.236914601,0.972508591,0.349862259,0.918671249,0.393939394,0.909507446,0.236914601,0.962199313
55,0.72195122,0.836653386,0.548780488,0.938247012,0.62195122,0.866533865,0.66097561,0.836653386,0.43902439,0.952191235,0.461748634,0.888505747,0.240437158,0.977011494,0.371584699,0.91954023,0.453551913,0.888505747,0.232240437,0.968965517
56,0.677165354,0.796610169,0.509186352,0.926553672,0.590551181,0.870056497,0.577427822,0.796610169,0.464566929,0.926553672,0.370689655,0.879504505,0.235632184,0.96509009,0.324712644,0.902027027,0.359195402,0.879504505,0.204022989,0.962837838
57,0.669191919,0.84496124,0.482323232,0.932170543,0.601010101,0.860465116,0.583333333,0.84496124,0.421717172,0.926356589,0.41971831,0.868331442,0.270422535,0.970488082,0.332394366,0.880817253,0.405633803,0.868331442,0.245070423,0.953461975
58,0.663129973,0.831775701,0.474801061,0.938317757,0.591511936,0.876635514,0.591511936,0.831775701,0.424403183,0.94953271,0.43442623,0.873563218,0.262295082,0.966666667,0.371584699,0.895402299,0.423497268,0.873563218,0.256830601,0.954022989
59,0.665024631,0.830039526,0.495073892,0.922924901,0.549261084,0.855731225,0.588669951,0.830039526,0.443349754,0.922924901,0.414285714,0.876975169,0.257142857,0.965011287,0.36,0.890519187,0.405714286,0.876975169,0.245714286,0.953724605
60,0.6425,0.84375,0.4475,0.939453125,0.5675,0.8671875,0.5825,0.84375,0.3675,0.951171875,0.385245902,0.865517241,0.218579235,0.96091954,0.292349727,0.883908046,0.371584699,0.865517241,0.224043716,0.952873563
61,0.689655172,0.833992095,0.497536946,0.928853755,0.598522167,0.881422925,0.596059113,0.833992095,0.445812808,0.942687747,0.431693989,0.889655172,0.254098361,0.963218391,0.37704918,0.895402299,0.420765027,0.889655172,0.243169399,0.952873563
